"customer_id","recency_days","frequency_count","monetary_value","r_score","f_score","m_score","rfm_segment"
"13113","0","24","12245.96","5","5","5","555"
"14606","1","93","12076.15","5","5","5","555"
"12557","16","5","11990.96","4","4","5","445"
"12939","64","8","11581.80","3","5","5","355"
"15125","25","15","11528.48","4","5","5","455"
"14194","4","21","11349.52","5","5","5","555"
"12971","3","86","11189.91","5","5","5","555"
"14895","7","20","11138.71","5","5","5","555"
"12409","78","3","11072.67","2","4","5","245"
"17581","0","25","11025.24","5","5","5","555"
"15482","15","12","10879.76","4","5","5","455"
"13319","5","26","10845.55","5","5","5","555"
"17107","33","6","10797.48","3","5","5","355"
"13340","45","7","10736.48","3","5","5","355"
"17139","15","12","10650.77","4","5","5","455"
"16779","2","22","10611.72","5","5","5","555"
"17865","30","20","10526.32","4","5","5","455"
"17706","4","17","10504.49","5","5","5","555"
"15251","9","11","10484.99","5","5","5","555"
"14062","9","12","10464.85","5","5","5","555"
"14769","2","8","10416.98","5","5","5","555"
"15615","10","23","10399.74","5","5","5","555"
"15502","15","12","10384.93","4","5","5","455"
"16180","100","8","10254.18","2","5","5","255"
"16843","42","16","10196.57","3","5","5","355"
"12590","211","2","9864.26","1","2","5","125"
"13199","3","38","9817.12","5","5","5","555"
"13001","4","13","9785.97","5","5","5","555"
"15078","7","32","9743.11","5","5","5","555"
"12709","15","15","9706.52","4","5","5","455"
"13458","7","14","9646.57","5","5","5","555"
"14733","16","12","9585.91","4","5","5","455"
"16523","1","21","9418.47","5","5","5","555"
"12567","22","10","9401.28","4","5","5","455"
"14367","8","16","9227.82","5","5","5","555"
"14667","10","25","9175.04","5","5","5","555"
"18092","2","11","9068.26","5","5","5","555"
"12451","10","5","9035.52","5","4","5","545"
"13969","7","18","9024.17","5","5","5","555"
"13488","17","13","8968.31","4","5","5","455"
"13090","8","14","8910.82","5","5","5","555"
"16033","5","20","8778.82","5","5","5","555"
"17017","2","20","8694.26","5","5","5","555"
"17306","10","19","8631.31","5","5","5","555"
"16656","22","15","8625.80","4","5","5","455"
"17243","1","26","8540.05","5","5","5","555"
"14527","2","55","8507.13","5","5","5","555"
"12683","4","15","8476.57","5","5","5","555"
"18139","17","6","8438.34","4","5","5","455"
"15358","4","22","8347.20","5","5","5","555"
"16558","0","20","8338.49","5","5","5","555"
"14056","1","23","8152.71","5","5","5","555"
"14936","33","8","8137.02","3","5","5","355"
"16672","2","20","8134.94","5","5","5","555"
"13854","8","25","8109.52","5","5","5","555"
"14952","59","11","8099.49","3","5","5","355"
"18109","1","26","8004.92","5","5","5","555"
"14796","1","17","7975.49","5","5","5","555"
"12428","25","9","7956.46","4","5","5","455"
"15290","4","18","7943.22","5","5","5","555"
"14849","21","25","7930.54","4","5","5","455"
"12757","15","13","7834.65","4","5","5","455"
"13093","275","8","7832.47","1","5","5","155"
"12435","79","2","7829.89","2","3","5","235"
"13629","23","11","7792.36","4","5","5","455"
"17811","4","39","7761.82","5","5","5","555"
"15044","19","17","7634.73","4","5","5","455"
"15194","3","15","7616.53","5","5","5","555"
"18172","14","20","7561.68","4","5","5","455"
"13263","1","35","7436.93","5","5","5","555"
"12980","157","9","7374.90","2","5","5","255"
"15465","19","18","7354.62","4","5","5","455"
"17396","39","8","7330.80","3","5","5","355"
"12474","17","18","7324.09","4","5","5","455"
"12583","2","15","7281.38","5","5","5","555"
"13018","16","28","7277.70","4","5","5","455"
"18229","11","20","7276.90","5","5","5","555"
"16729","38","21","7205.33","3","5","5","355"
"16745","86","17","7180.70","2","5","5","255"
"16873","4","6","7123.62","5","5","5","555"
"13324","36","10","7121.95","3","5","5","355"
"16923","12","19","7069.08","5","5","5","555"
"13985","4","15","7060.13","5","5","5","555"
"14961","10","9","7044.68","5","5","5","555"
"12766","3","7","6989.63","5","5","5","555"
"12798","10","3","6977.04","5","3","5","535"
"12989","3","15","6924.11","5","5","5","555"
"13027","113","6","6912.00","2","5","5","255"
"16187","31","15","6911.44","4","5","5","455"
"16713","18","15","6910.78","4","5","5","455"
"17416","29","7","6893.42","4","5","5","455"
"12705","15","9","6868.29","4","5","5","455"
"12476","15","11","6816.42","4","5","5","455"
"12830","37","6","6814.64","3","5","5","355"
"15601","11","14","6776.56","5","5","5","555"
"16652","58","7","6773.97","3","5","5","355"
"18055","7","10","6761.34","5","5","5","555"
"16532","17","3","6748.80","4","3","5","435"
"15023","3","11","6720.41","5","5","5","555"
"13576","10","18","6717.34","5","5","5","555"
"15249","31","13","6688.46","4","5","5","455"
"16746","4","18","6680.11","5","5","5","555"
"16353","3","23","6675.71","5","5","5","555"
"12626","23","9","6620.48","4","5","5","455"
"16182","72","4","6617.65","2","4","5","245"
"15144","8","17","6580.44","5","5","5","555"
"12472","32","7","6572.11","4","5","5","455"
"17338","17","8","6493.54","4","5","5","455"
"18223","4","14","6484.54","5","5","5","555"
"15694","0","14","6479.40","5","5","5","555"
"13225","3","7","6463.84","5","5","5","555"
"13102","1","24","6424.09","5","5","5","555"
"12431","35","15","6419.95","3","5","5","355"
"16814","14","21","6416.70","4","5","5","455"
"13871","22","13","6403.25","4","5","5","455"
"12359","57","4","6310.03","3","4","5","345"
"13668","2","21","6309.83","5","5","5","555"
"13709","3","13","6307.65","5","5","5","555"
"15005","15","28","6295.37","4","5","5","455"
"16126","29","4","6287.77","4","4","5","445"
"17315","1","38","6281.23","5","5","5","555"
"14057","23","17","6211.66","4","5","5","455"
"12357","33","1","6207.67","3","2","5","325"
"14060","4","19","6140.42","5","5","5","555"
"13418","11","18","6127.43","5","5","5","555"
"15939","89","15","6115.01","2","5","5","255"
"17509","57","8","6083.64","3","5","5","355"
"14735","3","32","6065.69","5","5","5","555"
"13097","32","10","6003.22","4","5","5","455"
"12637","67","8","6002.90","3","5","5","355"
"14101","73","6","5976.79","2","5","5","255"
"15382","14","6","5955.71","4","5","5","455"
"14944","29","12","5900.25","4","5","5","455"
"13209","30","8","5891.61","4","5","5","455"
"13534","2","25","5870.08","5","5","5","555"
"14505","17","8","5859.43","4","5","5","455"
"14415","1","13","5855.57","5","5","5","555"
"13050","14","17","5836.86","4","5","5","455"
"12720","2","25","5781.73","5","5","5","555"
"15218","10","11","5756.89","5","5","5","555"
"17686","7","7","5739.46","5","5","5","555"
"13316","37","4","5732.93","3","4","5","345"
"13178","26","11","5725.47","4","5","5","455"
"16553","163","12","5719.82","2","5","5","255"
"13468","1","37","5704.97","5","5","5","555"
"14110","3","12","5683.15","5","5","5","555"
"17716","22","11","5655.99","4","5","5","455"
"13004","11","18","5655.91","5","5","5","555"
"17049","2","9","5655.03","5","5","5","555"
"18118","10","26","5625.08","5","5","5","555"
"17757","1","30","5593.39","5","5","5","555"
"12839","2","14","5591.42","5","5","5","555"
"12481","22","10","5579.82","4","5","5","455"
"14688","7","21","5579.10","5","5","5","555"
"14049","16","4","5578.72","4","4","5","445"
"16767","30","11","5575.56","4","5","5","455"
"12539","22","4","5568.35","4","4","5","445"
"16161","1","19","5533.67","5","5","5","555"
"18225","3","12","5504.96","5","5","5","555"
"16609","15","7","5493.46","4","5","5","455"
"15805","23","17","5488.18","4","5","5","455"
"16985","17","10","5464.12","4","5","5","455"
"16265","9","9","5447.00","5","5","5","555"
"18198","4","17","5425.56","5","5","5","555"
"12490","5","10","5417.93","5","5","5","555"
"17809","16","12","5411.91","4","5","5","455"
"16701","8","13","5398.30","5","5","5","555"
"17719","37","15","5396.04","3","5","5","355"
"17850","372","34","5391.21","1","5","5","155"
"16303","25","3","5360.63","4","3","5","435"
"13269","1","15","5343.28","5","5","5","555"
"17730","3","13","5298.48","5","5","5","555"
"15150","17","10","5291.33","4","5","5","455"
"17061","73","11","5232.23","2","5","5","255"
"18226","44","11","5228.05","3","5","5","355"
"12362","3","10","5226.23","5","5","5","555"
"16258","45","5","5203.51","3","4","5","345"
"13756","2","14","5189.52","5","5","5","555"
"16191","2","13","5180.52","5","5","5","555"
"15727","16","7","5159.06","4","5","5","455"
"13599","1","21","5149.92","5","5","5","555"
"17858","5","12","5140.66","5","5","5","555"
"15903","9","7","5126.76","5","5","5","555"
"13941","21","5","5112.96","4","4","5","445"
"15046","9","15","5090.42","5","5","5","555"
"16700","8","13","5076.55","5","5","5","555"
"13139","16","7","5064.94","4","5","5","455"
"12432","42","5","5059.32","3","4","5","345"
"17602","2","6","5054.42","5","5","5","555"
"15301","50","12","5049.95","3","5","5","355"
"17426","8","6","5037.26","5","5","5","555"
"15719","32","13","5030.07","3","5","5","355"
"14755","9","11","5010.28","5","5","5","555"
"14562","3","18","5006.77","5","5","5","555"
"12444","21","5","5005.46","4","4","5","445"
"14329","17","7","4975.24","4","5","5","455"
"15032","256","3","4959.10","1","3","5","135"
"12437","1","18","4951.41","5","5","5","555"
"12700","7","4","4939.99","5","4","5","545"
"14709","15","13","4921.04","4","5","5","455"
"15786","46","3","4919.00","3","3","5","335"
"15547","7","14","4910.60","5","5","5","555"
"17133","15","7","4892.24","4","5","5","455"
"12664","8","9","4881.88","5","5","5","555"
"12688","113","1","4873.81","2","2","5","225"
"14292","7","9","4871.93","5","5","5","555"
"17652","25","12","4867.72","4","5","5","455"
"15738","18","16","4812.42","4","5","5","455"
"13013","1","13","4810.94","5","5","5","555"
"15298","2","12","4799.90","5","5","5","555"
"15555","12","16","4794.86","5","5","5","555"
"15187","1","16","4777.18","5","5","5","555"
"17365","12","8","4767.36","5","5","5","555"
"12955","1","11","4757.16","5","5","5","555"
"14180","10","25","4748.52","5","5","5","555"
"15152","9","13","4745.69","5","5","5","555"
"16722","17","13","4730.81","4","5","5","455"
"17690","30","15","4726.80","4","5","5","455"
"12714","9","5","4708.86","5","4","5","545"
"14135","1","15","4690.31","5","5","5","555"
"14191","1","13","4684.76","5","5","5","555"
"15291","25","15","4668.30","4","5","5","455"
"14189","2","15","4654.08","5","5","5","555"
"14390","10","9","4642.57","5","5","5","555"
"14159","19","11","4630.35","4","5","5","455"
"14286","23","3","4628.75","4","4","5","445"
"13802","138","3","4599.42","2","4","5","245"
"15093","18","6","4597.02","4","5","5","455"
"14004","43","7","4582.64","3","5","5","355"
"16931","5","21","4554.87","5","5","5","555"
"17068","12","21","4552.14","5","5","5","555"
"17613","22","14","4544.55","4","5","5","455"
"12484","32","6","4527.32","3","5","5","355"
"13267","2","19","4521.49","5","5","5","555"
"15299","67","7","4507.01","3","5","5","355"
"12524","9","8","4485.72","5","5","5","555"
"17975","15","13","4483.26","4","5","5","455"
"14426","23","10","4481.67","4","5","5","455"
"12627","10","7","4478.53","5","5","5","555"
"17364","0","11","4462.68","5","5","5","555"
"16984","88","2","4459.52","2","2","5","225"
"13069","0","24","4431.44","5","5","5","555"
"14085","2","18","4421.29","5","5","5","555"
"15955","24","14","4416.26","4","5","5","455"
"16626","0","17","4413.10","5","5","5","555"
"15874","63","7","4405.88","3","5","5","355"
"14534","2","18","4397.30","5","5","5","555"
"12712","28","13","4396.13","4","5","5","455"
"13505","72","4","4393.63","2","4","5","245"
"12752","81","1","4366.78","2","2","5","225"
"16945","21","19","4345.50","4","5","5","455"
"14016","161","4","4341.21","2","4","5","245"
"14800","47","12","4331.79","3","5","5","355"
"17567","7","8","4331.48","5","5","5","555"
"18251","87","1","4314.72","2","2","5","225"
"12347","2","7","4310.00","5","5","5","555"
"17937","8","7","4301.22","5","5","5","555"
"15034","15","8","4274.16","4","5","5","455"
"14422","0","6","4263.64","5","5","5","555"
"12500","23","11","4257.82","4","5","5","455"
"17419","11","12","4226.57","5","5","5","555"
"14525","19","9","4215.90","4","5","5","455"
"15804","0","13","4206.39","5","5","5","555"
"15971","17","12","4199.85","4","5","5","455"
"12747","2","11","4196.01","5","5","5","555"
"14146","8","5","4191.00","5","4","5","545"
"14277","15","3","4188.00","4","3","5","435"
"12949","30","8","4167.22","4","5","5","455"
"13384","30","7","4151.93","4","5","5","455"
"15570","7","12","4148.82","5","5","5","555"
"13988","19","6","4147.96","4","5","5","455"
"12569","2","32","4124.69","5","5","5","555"
"17920","4","17","4119.50","5","5","5","555"
"16592","4","16","4113.68","5","5","5","555"
"13555","73","4","4098.88","2","4","5","245"
"16401","1","12","4098.32","5","5","5","555"
"18041","11","21","4097.37","5","5","5","555"
"16670","16","11","4095.90","4","5","5","455"
"12749","3","5","4090.88","5","4","5","545"
"14092","7","14","4076.91","5","5","5","555"
"12449","22","4","4067.29","4","4","5","445"
"17377","23","20","4058.32","4","5","5","455"
"18087","98","2","4055.72","2","3","5","235"
"14401","4","13","4051.48","5","5","5","555"
"12656","17","5","4051.17","4","4","5","445"
"16549","10","10","4034.90","5","5","5","555"
"13815","22","4","4027.36","4","4","5","445"
"15514","12","11","4023.72","5","5","5","555"
"17940","49","10","4020.04","3","5","5","355"
"12957","9","8","4017.54","5","5","5","555"
"12867","26","7","4009.34","4","5","5","455"
"12378","129","1","4008.62","2","2","5","225"
"16186","22","12","4006.94","4","5","5","455"
"12841","4","25","3991.58","5","5","5","555"
"17001","0","11","3989.57","5","5","5","555"
"15416","64","4","3984.32","3","4","5","345"
"12779","37","8","3981.36","3","5","5","355"
"12727","10","7","3980.70","5","5","5","555"
"14547","3","8","3974.75","5","5","5","555"
"14299","8","9","3965.62","5","5","5","555"
"13523","33","5","3964.88","3","4","5","345"
"15529","22","11","3962.60","4","5","5","455"
"17611","7","15","3961.12","5","5","5","555"
"13183","7","9","3957.78","5","5","5","555"
"17769","12","10","3957.43","5","5","5","555"
"17651","11","10","3945.00","5","5","5","555"
"12473","29","5","3928.05","4","4","5","445"
"17593","3","5","3923.86","5","4","5","545"
"14739","4","7","3902.28","5","5","5","555"
"13999","10","12","3901.81","5","5","5","555"
"14291","1","11","3883.25","5","5","5","555"
"15195","2","1","3861.00","5","2","5","525"
"18073","114","12","3859.82","2","5","5","255"
"12662","0","11","3849.78","5","5","5","555"
"16717","23","6","3843.08","4","5","5","455"
"13266","11","12","3834.26","5","5","5","555"
"17091","2","9","3827.76","5","5","5","555"
"16327","14","6","3820.27","4","5","5","455"
"12755","280","2","3811.95","1","3","5","135"
"12597","19","4","3811.22","4","4","5","445"
"15867","5","15","3810.14","5","5","5","555"
"13435","5","7","3809.89","5","5","5","555"
"12668","11","4","3807.15","5","4","5","545"
"16145","8","11","3799.49","5","5","5","555"
"16655","17","6","3789.52","4","5","5","455"
"16168","10","27","3787.60","5","5","5","555"
"16019","46","9","3786.24","3","5","5","355"
"12562","8","7","3781.74","5","5","5","555"
"17173","5","8","3766.60","5","5","5","555"
"13124","89","3","3756.33","2","3","5","235"
"12429","9","4","3750.40","5","4","5","545"
"14145","46","4","3742.20","3","4","5","345"
"13552","66","12","3740.07","3","5","5","355"
"16570","15","10","3738.40","4","5","5","455"
"12502","95","5","3723.87","2","4","5","245"
"12647","22","12","3722.82","4","5","5","455"
"13680","1","4","3719.12","5","4","5","545"
"17238","2","17","3719.10","5","5","5","555"
"16240","24","2","3718.80","4","3","5","435"
"14364","108","8","3717.35","2","5","5","255"
"15845","17","8","3711.77","4","5","5","455"
"15622","43","9","3709.56","3","5","5","355"
"17819","71","7","3704.87","3","5","5","355"
"15379","169","7","3703.29","2","5","5","255"
"14282","3","15","3701.44","5","5","5","555"
"12553","8","10","3692.28","5","5","5","555"
"16253","66","2","3683.86","3","2","5","325"
"13148","29","12","3683.26","4","5","5","455"
"15581","120","13","3675.77","2","5","5","255"
"15296","50","6","3672.86","3","4","5","345"
"16904","4","16","3653.75","5","5","5","555"
"15808","306","4","3651.27","1","4","5","145"
"12417","3","9","3649.10","5","5","5","555"
"13426","0","10","3641.32","5","5","5","555"
"12619","16","9","3641.24","4","5","5","455"
"16440","7","5","3640.67","5","4","5","545"
"13381","31","6","3639.31","4","5","5","455"
"17230","264","8","3638.41","1","5","5","155"
"17528","1","8","3628.50","5","5","5","555"
"13327","38","8","3627.77","3","5","5","355"
"13520","58","6","3624.35","3","5","5","355"
"13082","126","9","3613.63","2","5","5","255"
"18079","45","4","3613.15","3","4","5","345"
"16712","9","11","3611.31","5","5","5","555"
"15505","52","5","3610.96","3","4","5","345"
"13137","10","8","3603.29","5","5","5","555"
"14543","28","16","3599.73","4","5","5","455"
"15484","1","4","3590.41","5","4","5","545"
"14132","2","11","3586.03","5","5","5","555"
"16242","8","7","3579.86","5","5","5","555"
"17576","8","19","3564.83","5","5","5","555"
"14040","40","12","3560.32","3","5","5","355"
"17203","35","6","3560.08","3","5","5","355"
"17491","1","10","3558.87","5","5","5","555"
"15544","9","9","3546.71","5","5","5","555"
"14503","3","6","3543.26","5","5","5","555"
"12370","51","4","3541.94","3","4","5","345"
"13448","16","6","3534.69","4","5","5","455"
"12454","56","1","3528.34","3","2","5","325"
"17160","31","6","3518.03","4","5","5","455"
"13953","7","7","3515.68","5","5","5","555"
"15113","9","3","3509.43","5","4","5","545"
"16131","51","6","3506.54","3","5","5","355"
"13334","82","3","3502.32","2","4","5","245"
"14907","3","7","3501.10","5","5","5","555"
"16458","2","18","3482.74","5","5","5","555"
"14395","2","9","3479.91","5","5","5","555"
"13993","42","9","3466.36","3","5","5","355"
"13014","10","10","3466.28","5","5","5","555"
"15410","84","8","3450.84","2","5","5","255"
"16360","4","6","3450.41","5","5","5","555"
"15129","50","11","3447.40","3","5","5","355"
"13536","1","7","3444.39","5","5","5","555"
"15974","39","7","3442.15","3","5","5","355"
"17725","16","11","3439.08","4","5","5","455"
"15676","18","3","3435.76","4","3","5","435"
"14221","42","9","3432.80","3","5","5","355"
"12406","22","2","3415.30","4","3","5","435"
"15981","24","8","3408.48","4","5","5","455"
"17758","19","8","3408.20","4","5","5","455"
"13437","14","7","3408.06","4","5","5","455"
"17669","42","7","3406.72","3","5","5","355"
"13198","10","6","3401.24","5","5","5","555"
"15228","66","4","3386.71","3","4","5","345"
"13842","58","9","3385.62","3","5","5","355"
"16011","8","16","3352.96","5","5","5","555"
"14227","26","10","3350.96","4","5","5","455"
"16818","10","11","3349.57","5","5","5","555"
"16607","17","14","3347.71","4","5","5","455"
"17183","7","6","3347.31","5","5","5","555"
"12643","128","6","3344.64","2","5","5","255"
"12613","57","5","3344.38","3","4","5","345"
"13015","53","5","3339.64","3","4","5","345"
"12594","37","10","3338.22","3","5","5","355"
"16556","66","7","3313.79","3","5","5","355"
"13373","60","3","3312.25","3","3","5","335"
"14841","53","6","3295.76","3","5","5","355"
"15632","15","8","3285.31","4","5","5","455"
"12480","28","4","3281.63","4","4","5","445"
"15764","88","6","3279.97","2","5","5","255"
"17723","127","6","3276.40","2","5","5","255"
"14702","1","17","3251.79","5","5","5","555"
"13952","217","2","3251.07","1","3","5","135"
"13047","31","10","3237.54","4","5","5","455"
"15708","40","7","3235.25","3","5","5","355"
"14175","59","3","3222.30","3","3","5","335"
"13880","21","13","3219.77","4","5","5","455"
"15443","1","7","3213.59","5","5","5","555"
"14388","10","8","3212.84","5","5","5","555"
"16107","17","7","3204.16","4","5","5","455"
"13868","7","2","3192.54","5","3","5","535"
"13758","11","7","3190.55","5","5","5","555"
"14844","63","4","3189.81","3","4","5","345"
"17220","24","14","3187.55","4","5","5","455"
"17050","96","6","3185.64","2","5","5","255"
"12456","44","3","3181.04","3","3","5","335"
"17672","50","2","3178.17","3","3","5","335"
"13268","17","11","3174.75","4","5","5","455"
"16837","31","11","3170.98","4","5","5","455"
"16041","30","3","3166.40","4","3","5","435"
"17863","59","6","3160.00","3","5","5","355"
"15065","37","4","3158.13","3","4","5","345"
"17685","16","7","3155.83","4","5","5","455"
"15861","12","8","3146.92","5","5","5","555"
"14235","75","5","3144.86","2","4","5","245"
"17231","12","10","3124.72","5","5","5","555"
"13685","2","7","3119.44","5","5","5","555"
"16678","2","12","3109.99","5","5","5","555"
"13742","16","12","3107.87","4","5","5","455"
"14099","16","11","3104.17","4","5","5","455"
"15491","95","6","3100.09","2","5","5","255"
"14257","64","5","3099.72","3","4","5","345"
"14565","95","4","3099.12","2","4","5","245"
"13135","196","1","3096.00","1","2","5","125"
"16156","8","9","3092.04","5","5","5","555"
"13362","9","4","3090.74","5","4","5","545"
"16218","29","7","3084.68","4","5","5","455"
"13869","123","4","3083.65","2","4","5","245"
"17059","29","5","3080.39","4","4","5","445"
"15998","36","5","3080.22","3","4","5","345"
"18272","2","6","3078.58","5","5","5","555"
"12910","23","8","3075.04","4","5","5","455"
"13631","99","11","3070.42","2","5","5","255"
"16940","52","3","3049.88","3","3","5","335"
"16393","2","13","3040.96","5","5","5","555"
"16326","5","14","3039.22","5","5","5","555"
"17799","22","10","3039.17","4","5","5","455"
"16905","5","7","3037.60","5","5","5","555"
"16709","84","5","3029.87","2","4","5","245"
"12598","9","8","3023.08","5","5","5","555"
"12395","19","12","3018.63","4","5","5","455"
"18094","81","7","3017.30","2","5","5","255"
"14456","5","9","3017.28","5","5","5","555"
"12754","235","3","3010.74","1","3","5","135"
"15521","40","8","3000.20","3","5","5","355"
"17659","17","12","2999.46","4","5","5","455"
"17504","206","9","2997.03","1","5","5","155"
"12670","10","5","2996.05","5","4","5","545"
"14307","88","6","2995.72","2","5","5","255"
"15687","8","9","2993.10","5","5","5","555"
"14639","52","6","2984.49","3","5","5","355"
"14032","2","11","2975.59","5","5","5","555"
"15854","4","12","2969.12","5","5","5","555"
"16497","49","6","2965.69","3","5","5","355"
"17924","11","7","2962.50","5","5","5","555"
"16686","47","7","2959.88","3","5","5","355"
"14868","3","8","2953.59","5","5","5","555"
"12916","138","4","2944.95","2","4","5","245"
"17444","147","3","2940.04","2","3","5","235"
"16316","64","8","2938.91","3","5","5","355"
"17512","28","10","2924.99","4","5","5","455"
"15606","61","9","2920.16","3","5","5","355"
"12906","11","5","2919.81","5","4","5","545"
"14112","22","7","2915.15","4","5","5","455"
"12438","14","2","2906.85","4","2","5","425"
"13451","26","5","2898.26","4","4","5","445"
"17644","1","11","2895.64","5","5","5","555"
"18144","7","12","2888.75","5","5","5","555"
"12408","32","5","2888.55","3","4","5","345"
"13735","24","4","2883.54","4","4","5","445"
"16633","17","6","2883.10","4","5","5","455"
"14251","1","5","2879.70","5","4","5","545"
"17728","3","3","2876.01","5","3","5","535"
"14005","9","5","2874.72","5","4","5","545"
"15628","4","9","2870.24","5","5","5","555"
"13901","72","5","2867.20","2","4","5","245"
"12685","28","6","2863.08","4","5","5","455"
"14530","25","6","2862.11","4","5","5","455"
"18145","12","4","2861.55","5","4","5","545"
"14535","60","3","2854.84","3","3","5","335"
"14711","10","11","2839.62","5","5","5","555"
"14852","58","6","2836.69","3","4","5","345"
"14842","43","4","2824.69","3","4","5","345"
"16928","80","17","2814.70","2","5","5","255"
"16871","22","6","2812.34","4","5","5","455"
"12356","22","3","2811.43","4","3","5","435"
"18230","9","7","2810.20","5","5","5","555"
"17596","23","7","2806.69","4","5","5","455"
"14572","3","7","2804.54","5","5","5","555"
"16081","56","5","2799.42","3","4","5","345"
"13769","2","10","2796.51","5","5","5","555"
"14903","21","5","2795.33","4","4","5","445"
"12578","21","2","2794.51","4","3","5","435"
"12758","116","2","2791.59","2","3","5","235"
"17739","11","7","2791.35","5","5","5","555"
"14626","23","4","2791.27","4","4","5","445"
"16764","3","13","2790.95","5","5","5","555"
"17213","40","7","2781.23","3","5","5","355"
"12388","15","6","2780.66","4","5","5","455"
"15984","2","10","2780.63","5","5","5","555"
"14121","3","4","2780.15","5","4","5","545"
"15993","8","7","2777.67","5","5","5","555"
"13870","2","8","2770.94","5","5","5","555"
"15114","30","10","2760.56","4","5","5","455"
"13971","18","8","2758.26","4","5","5","455"
"13230","4","14","2755.63","5","5","5","555"
"15321","70","3","2748.31","3","3","5","335"
"17084","35","2","2747.99","3","3","5","335"
"12669","150","3","2744.03","2","3","5","235"
"13174","16","3","2742.82","4","3","5","435"
"14854","78","7","2740.03","2","5","5","255"
"16003","29","5","2735.37","4","4","5","445"
"12840","143","4","2726.77","2","4","5","245"
"15673","88","4","2726.23","2","4","5","245"
"12380","21","4","2724.81","4","4","5","445"
"17838","26","5","2720.80","4","4","5","445"
"14125","10","3","2720.63","5","3","5","535"
"14808","39","8","2718.60","3","5","5","355"
"15356","31","10","2718.03","4","5","5","455"
"12708","29","10","2712.91","4","5","5","455"
"16938","8","4","2711.68","5","4","5","545"
"15696","33","8","2711.11","3","5","5","355"
"17069","28","9","2709.70","4","5","5","455"
